0;54.7
10;54.5
20;54.0
30;53.3
40;52.8
50;52.1
60;51.4
70;50.8
80;50.2
90;48.7
100;48.0
110;47.5
120;46.9
130;46.2
140;45.8
150;45.3
160;44.7
170;44.2
180;43.2
190;43.0
200;42.4
210;42.0
220;41.3
230;40.9
240;40.4
250;40.0
260;39.5
270;39.1
280;39.0
290;38.6
300;38.1
310;38.1
320;37.6
330;37.2
340;36.9
350;36.6
360;36.3
370;36.0
380;35.7
390;35.4
400;35.2
410;34.9
420;34.7
430;34.6
440;34.3
450;34.1
460;33.9
470;33.6
480;33.5
490;33.2
500;33.1
510;32.9
520;32.7
530;32.5
540;32.4
550;32.3
560;32.1
570;31.9
580;31.7
590;31.6
600;31.5
610;31.3
620;31.2
630;31.1
640;30.9
